score;content
5;aplikasi penolong buat ngga antri lgi huhu
5;payment mudah, cek jadwal lengkap
5;aplikasi yang sangat menguntungkan. banyak promosi
5;bli tiket online bs plh tmpt du2k yg td tidak tahu jd tahu pembayaran jd mudah bnyk pilihannya
5;sangat amat membantu .. jd kalau nonton bisa memept jam tayang brngkat , g perlu antri , beli popcorn juga tinggal pick up.
5;beli ticket bioskop jadi mudah..👍👍mantap..👍👍
5;Aplikasi TIX ID sangat mempermudah pengunjung Bioskop untuk lebih praktis dan simpel saat ingin menonton di Bioskop tanpa harus mengantri tiket.. bisa pesan dari rumah.., menghemat waktu juga. Bisa lihat film terbaru yang sedang tayang, bisa mudah memilih Bioskop kesukaan, jam tayang, dan memilih kursi dengan mudah dan praktis.. Begitu menyenangkan menggunakan TIX ID..🤩👍🏻👍🏻👍🏻
5;enak tanpa antri ,datang langsung masuk
5;sangat suka aplikasinya
5;bintang 1000 💫apk sangat membantu
1;gak bisa dibuka aplikasi nya. entah kenapa
5;mempermudah pembelian tiiket dan banyak diskonnya
5;sangat membantu sekali
1;pas mau mesen bangku muter mulu tiba tiba sesi berakhir gitu aja terus sampe tiket abis
1;mau bayar pake ovo gk ada petunjuk cara bayarnya. g perbaiki deh!
5;selalu jd opsi dikala gk bisa beli langsung
5;pokoknya mantap dan sesuai harapan..
5;Bagusss bangettt ngemudahin pembelian tiket
5;lebih mudah dan byk bonus👍😁
1;baru instal 1 menit lngsng hapus . soalnya gak ada kota ku. mungkin bisa tambahin kota lainya masa yang ada cuma kota kota tertentu aja😏
5;sangat praktis dan bermanfaat thanks
1;Nope, buat pemesanan tiket. udah di booking tinggal bayar aja tiba tiba keserobot orang lain kita yang kena. Saldo udah kepotong, proses refund 7-14 hari. Buat Hubungin CST juga dibikin susah karena melalui email. Cobalah di aplikasi dikasih CST service juga, dan bila udah keboking orang lain seharusnya pembayaran gagal. Sistem diperbaiki lahh
5;Keren.., cepat banget buat pesan tiket bioskop di aplikasinya 👍 Pertama kali pesan tiket online karena kepengen nonton film Jumbo 😄
1;aplikasi kacau ini , saya sudah pesen tiket terus tiba tiba di refund dan saldo nya pun belum masuk masuk , KACAU NI APLIKASI
1;proses refund yg berbelit. dana refund saya sampai saat ini belum kembali.. padahal pembatalan dilakukan oleh pihak bioskop bukan pihak cust. ayo bagaimana ini tix solusinya
5;Bagus, gampang, voucher langsung nyangkut, lancar trus ga eror kaya sebelah
4;Kenapa aku gak bisa beli tiket yg 1Get 1 ya
1;pas promo sering error, terkadang udah waktunya promo dan masih awal waktu, banyak kursi yg blm di booking tapi tidak muncul promonya
5;saya mau daftar kok ga bisa weyy.... edit: sudah bisa, mantap 👍👍
5;Buat Emak2 Gaptek yg mager ngantri jam tayang film,ini ngebantu banget sih.Bisa pilih jam tayang, pilah pilih film juga lewat hp, tinggal geser2,klik.Payment.Udah.Aplikasinya juga mudah... Cakep.
5;Tadi nya saya kasih bintang 5 tapi gara2 kemaren ada masalah sama pembelian tiket & respon customer service lama saya kecewa
5;oke sudah lancar
1;gk bagus.masak aku udah pesen udah bayar udah dikonfirmasi jg di apknya tpi pas waktu mau tukar gk bisa tulisannya nmr hp tidak ditemukan pdhl nmr masih aktif kuota jg masih bnyk pas mau ngehubungin customer servis jg gk bisa duitnya gk balik lgi
2;eror gabisa bikin akun yang jagain server kurang pro
2;gangguan terus gabisa bikin akun
3;Susah amat buat pesan tiketnya. Bukan susah gunain aplikasinya. Tapi karena selalu bermasalah aplikasinya. Belum lagi banyak ulasan yang katanya uang tidak di refund, sedangkan uang di e-wallet sudah kepotong. Baru juga mau pakai ni aplikasi. Karena ada promonya. Begitu promonya sudah habis, baru lancar aplikasinya. parah sih
2;butuh jaringan 6G biar bisa lancar mesan tiketnya aplikasi apaan dah
1;"aplikasinya gak jelas muter"" Mulu mau beli nih bukan mau minta"
1;muter-muter terus gak bisa mesen tiket, selalu muncul tulisan ada kendala padahal sinyal bagus, tolong aplikasi dibenerin lagi ,kalo begini pengguna bakalan ninggalin inih aplikasi
5;biasanya saya tidak pernah bermasalah menggunakan tix id, tetapi hari ini saya tidak bisa memesan melalui tix id
1;eror mulu setiap gw mau mesan tiket
1;muter teross, niat buat aplikasi ga
2;Aplikasinya error setiap promo, padahal jaringan oke² aja. sebenernya niat ngasih promo apa engga sih😂
1;kok setiap mau msuk ke tix suruh coba lagi ada apa yah? udah smpe di uninstal masih sama tulisannya coba lagi trus..tolong diperbaiki mkshh🙏
2;saya daritadi bukaa selalu ada kendala kenapa ya
1;aplikasi suka ngebug padahal jaringan bagus
1;jadwal mepet aplikasi error apakah bisa refund tiket
1;apalaahh aplikasi nya gabisa dibuka mana udh beli tikett lagii buat jam 12 hari ini😭
1;"Ini knp y baru instal gk bisa dibuka. Udah lebih dr 5menit tulisan tix id background biru dongker gk berubah-ubah. Stuk disitu aja drtd. Update : ada pop up bertuliskan ""ada kendala, coba ulangi beberapa saat lagi"" Ps. Bintang akan di rubah jika apk sudah bisa dibuka."
1;aplikasi error saat pesan tiket saat ini aplikasi lemot di saat orang mau nonton pesan tiket tak bisa
1;sulit di akses
1;lemot banget aplikasinya
2;mumpung ada promo mau nonton eh pas beli susah dapet tiket nya, loading terus.. tingaktin lagi dong..
1;"""ada kendala cobalah beberapa saat lagi"" setiap buka aplikasi slalu seperti itu."
3;ini sih aplikasi bagus... tapi kok bisa ya ada orang mau beli orderan film di tanggal jauh2 hari sebelum tayang loadingnya itunya loh mutar mutar terus terus lamaa lagi..
1;Aplikasi error, loading stuck, nggak bisa beli tiket, pas install ulang stuck di loading home screen tix doang
2;tolong perbaiki skrg dong ,kok aplikasi nya ngebug gak bisa dibuka stuck di logo tix nya sejak open app nya
1;apk sampah, gak bisa dipake
1;aplikasi cacat, giliran ada promo malah crash!!! kocag
1;eror terus... mau pesan gagal terus.. dicoba di semua hape sama saja.
1;KENDALA TERUS SAMPE MAU NONTON FILM PUN GABISA TOLONG BANGET NIH YA LU UBAH APPNYA BIAR GA KENDALA LAGI.
1;apk rusak error terus ga kebuka buka
1;udh pesen tiket udh bayar tapi tiba-tiba kursinya udh di booking duluan, uang ga balik gmn si 💔
2;apliaksi nya berat plus lemottt
1;Aplikasi bikin promo tiket gk jelas Gk bisa di buy kocak promo doang buy on get on
1;Apaa ni aplikasinya uang saya ga ada di refund baik pihak dana dan aplikasi tix id nya, dari tanggal 9april 2025 sya chat udah kirim bukti ga ada satupun mau tanggung jawab,malahan dipersulit Parah sekali.
1;eror melulu ngak bisa pesan
5;top markotop mau nonton di seluruh lokasi tinggal cek aja dan bayar pun lebih mudah
1;ada apa ini kok mau mesen tiket gak bisa bisa, lama banget prosesnya, padahal sinyal bagus
3;promo tiketnya tipu-tipu, padahal nyoba di tanggal promo dan jamnya sesuai tetep gabisa dipakai promo nya. zonkk bgt informasinya nih, padahal baru download dan bikin aku lhoo gabisa juga tuh pakai promonya.
1;Kenapa akhir akhir ini aplikasinya jadi lemot banget ya?? mau beli tiket bioskop ga bisa mulu
5;mantap sangat membantu
2;mesen tiket nggak jelas di refund nya katanya ada kendala hubungan dengan bioskop dana belum di kembalikan mau beli lagi voucher udah tidak promo aneh bngt
1;kenapa ya,pas mau buka app satu hari setelah donwload pasti selalu error. udah gatau brp kali ini donwload ulang terus
2;Uang saya lenyap begitu saja setelah itu saya tidak bisa menonton filmnya, udh gitu uang saya tidak bisa dikembalikan
1;saya cek jadwal minecraft Di cinemapolis balikpapan ada jam 21:00 tapi pas menuju ke cinemanya malah gada jadwalnya aneh. dari pihak cinemapolis Balikpapan menyebutkan bahwa ini kesalahAn aplikasi karna sudah menyita waktu saya saya beri bintang 1. terimakasih. sungguh mengecewakan saya padahal bawa keluarga total 17 orang. semua dari luar kota ingin nonton minecraft.
1;refund gagal proses pengembaliannya lama sekali, membuat kita mau gamau harus ubah jam nntn karena bangku yg kita mau keburu habis, mau beli lagi gabisa karena dananya aja blm dikembalikan
4;kenapa kode promo gopay tidak dapat digunakan ya? padahal belum pernah dipake promonya
1;hari ini pesen tiket via tix id pemesanan gagal dan uang tidak di refund dalam kurun waktu yg cepat, hari ini udah ambil cuti dan gagal nonton karna kehabisan tiket di jam yg saya mau saya kecewa karna dana tidak kembali dengan cepat saat proses gagal, sudah di email ke help tix id responnya lambat
5;Aplikasi ini sangat bagus karena kita tidak perlu repot antri dibioskop untuk beli tiket, tinggal scan aja. Cuman ada biaya tambahan 4000 okelah. yahaha
3;Sebenernya sih udah bagus, tapi sayang belum disabilitas friendly. Hiburan kan diciptakan untuk semua orang agar bisa dinikmati. Jadi tolong ya buat menu pemilihan kursi bikin biar bisa diakses sama screen reader dan tolong pada proses pengembangannya libatkan yang harus dilibatkan. Hanya sekadar masukan sih, semoga kedepan aplikasinya bisa lebih inklusif bisa diaksses sama semua orang tanpa terkecuali. Terima kasih.
4;Baru pertama kali beli tiket disini, belum tahu gimana habis ini kalo datang ke bioskop nya.
5;makasih tix id banyak promonya
5;Totally ok, tapi tolong akses untuk memesan tiket next day atau ditanggal2 berikutnya diberikan. Sangat membantu org2 well prepare dari jauh jauh hari. Kadang aktif iconnya, tapi tidak lengkap filmnya. Berbeda dgn ketika kita akses dihari H nya
5;pelayanan yang sangat baik respon cepat makasih untuk tix telah memberi pelayanan yang baik. tolong konsisten terus ya over all udh bagus pelayanan nya
1;pelayanan sangat buruk
1;udah bayar udah pesen eh malah di refund dari aplikasi nya, mana duit gue blom balik tapi di refund tiket ny aneh bgt, duit gue dipotong tapi tiket gaada, penipu lo aplikasi
2;Aplikasi error mulu...cpt benahi dong...svlm gua hapus ini aplikasi
1;nyesel download, Lokasi di tempat gua gak ada
1;aplikasisinya sangat jelek setiap aku mau beli tiket gak bisa terus udah ganti hp juga sama aja kalo hp aku yang ngleg gak mungkin ini soalnya hp baru sangat tidak di rekomendasikan😡
1;Aplikasi cak seak. susah nian mesannyo
1;saya pesan tiket bioskop di TIX ID, pembayaran Tiket berhasil tapi tiketnya tidak ada. tapi uang saya TDK dikembalikan langsung .
1;gua beli tiket, udah d bayar tp tiketnya gk terbit mau di refund gk bisa parah
4;tiket yg sudah di beli kenapa gak mau muncul yaa,udah di refresh gk muncul juga,mohon bantuan secepatnya
1;gak ada Tombol forgot password nya
3;kenapa pas udah tekan ringkasan order, selalu loading terus, muter2, dan gak bisa transaksi??? tolong ditingkatkan lagi performa aplikasi kelen!!
5;bermanfaat, memudahkan pembelian tiket bioskop
5;mempermudah biar gak usah repot² ngantri
5;memudahkan untuk nonton
4;halo mimin sayang, terima kasih sudah menyediakan fitur yang berkualitas dan bermanfaat, film-film yang disajikan juga ga kalah update. Tapi sayang sekali ada fitur jam tayang film yang akan ditayang pada waktu berikutnya tidak di tampilkan lagi. Karena ga mungkin seseorang bakalan merencanakan nonton film pada hari ini saja mungkin ini bisa diperbaiki dengan menampilkan jam tayang film-film apa saja yang akan ditayangkan pada hari-hari berikutnya supaya bermanfaat untuk pengguna, love u minn
1;pelayanannya sangat buruk, bahkan untuk fee tiket dengan harga 4 ribu pertiket sangat kapitalis. saya membeli tiket dan sudah melakukan pembayaran tapi pembelian tiket gagal dan uang saya tidak kunjung dikembalikan. saya sudah melakukan komplan ke aplikasi dan cs tapi prosesnya sangat lemot sekali hanya untuk mengembalikan uang saya. sumpah buruk sekali pelayanannya
1;refund gagal secara sepihak...dan proses pengembaliannya lama
1;kurang kecil tombol skip iklannya
5;memudahkan ..melakukan transaksi dan sudah bisa melihat Hobby aku tak tertunda lagi ..
5;keren aplikasinya
5;bantu dong gimana caranya biar ada pilihan xxi soalnya cuman ada pilihan cgv sama cinepolis
1;tidak beroprasi lg kah ni apk. gbs dibuka selalu sgop berfungsi
2;Kocak aja njir, film luar sinopsis nya bahasa indonesia sedangkan film lokal malah bahasa inggris, kebalik njay😆 Jika bisa buat semua sinopsis nya jadi bahasa indonesia.
4;"kenapa di makanan dan minumannya gak bisa sekalian di gabung sih jadi biyaya adminnya gak berkali"""
4;design tata ruang luxury,sound benar2 kualitas super benar2 nyaman👍
5;aplikasi sangat bagus dan mudah untuk memesan tiket bioskop
2;tolong dong Indramayu suruh ada tayang bioskop tolol banget sih banyak film baru gak tayang bego banget
5;lebih ditingkatkan lagi. n sering2 ngadain promo2 yg lebih heboh lagi, n menarik
1;aplikasi sudah 1 minggu kendala terus.
5;aplikasi nya bagus, dan bisa membeli tiket bioskop apa saja
1;Udab lama gabisa beli tiket gabisa log out jg muncul tulisan ada kendala pdhl sinyal bagus ga ada masalah jaringan, udah update juga versi terbaru, aneh bgt jd aku uninstal aja deh
3;Awalnya bagus² aja apk nya, makin lama makin susah di buka apknya, ganggun atau gimana?
5;sangat membantu,wort it bnykin promo nya
2;Ini maksudnya gimana dah? Saya pesan tiket 2 kali, disitu tertera hanya beberapa bioskop (biasanya hanya 3), bioskop yang saya pengen, ga ada di daftar. Saya kira emang bioskop yang saya suka ga ambil film tersebut, tapi pas saya cek lagi di hari H-nya (hari nonton filmnya), tiba-tiba bioskop yang saya suka muncul. Ga jelas. Seharusnya saya pesan di bioskop yang saya suka, karena ga muncul, terpaksa bioskop lain yang lebih jauh.
5;kalau pas Film nya Baru.. rame penonton nya.. aman kan tiket nonton nya dengan TIX ID. gak perlu khawatir.. pasti dapet deh.. seat terbaik (pilihan mu sendiri). Bisa liat jam tayang dan film2 yg lagi tayang dan akan datang (coming soon)... Berlaku di semua Kota.. Tinggal pilih kota nya juga. Baik di XXI atau pun CGV.
2;"Jaringan saya bagus, tapi kok kenapa aplikasi nya ngga ke buka""... Udah refresh beberapa kali tetep aja gak ke buka. Gimana sih!"
4;Mantapppp, tambahkan lagi penukaran koin di 20-30rb dong 😍 Tambahkan juga dark mode untuk tampilan TIX ID. Dan untuk biaya admin bisalah jika pesan lebih dari 1 tiket, tidak berkelipatan per tiket(:
1;Apk nipu, bilangnya dapat cashback bagi pengguna baru, ini sudah memenuhi syarat gak dapat2, mending make aplikasinya lain kalau mau beli tiket bioskop
1;Aplikasi lama lemot lelet daglog asli
4;tolong kalo bisa kursi yang udah dibeli ditandain dengan gender biar kita tau yang male atau female
1;Saya daftar nggak ada notifikasi
2;Tidak bisa tukar voucher nya, padahal sudah ada 59.000 coins, quota habis terus ...percuma VIP+
4;Aplikasinya sudah bagus.namun hanya saran saja,coba untuk setiap jam tayang film ditambah ketersediaan kursi didepannya untuk semua bioskop (misal 276/280 available).lalu coba ditambahkan jaringan bioskopnya seperti kcm dan flix. Terima kasih dan sukses selalu
5;sangat baik terimakasih apk sangat membantu
5;Bagus pesan tiket disini sangat memudahkan, Makasih 🙏🏼😊
5;aplikasi yang bagus bikin mudah pada saat mau nonton bioskop.tanpa antri lagi
4;Sangat membantu tapi knapa ya koin ngak bisa kepakai lagi padahal lumayan banyak untuk potongan harga
4;Untuk metode pembayaran, jgn hanya memakai satu pembayaran dari salah satu dompet digital saja min, setidaknya ada 3 pilihan, dompet digital, virtual account, sm Transfer m-banking. Satu lagi mode gelap, itu jg blum ada.
5;Dengan menggunakan aplikasi TIX ID ngebantu banget Gan! Gak perlu repot-repot antri kalo kita mau nonton film di bioskop. Info film-filmnya dan lokasi bioskopnya juga lengkap bahkan kita di-update terus film-filmnya yang paling baru dan yang lagi HYPE!🤩 Promo-promonya juga bisa bikin kantong kita lebih hemat🤑 O iya, kita bisa sekalian langsung pesen makanan cemilan popcorn🍿 dan minuman 🍹buat sambil nonton film. Ada paket murah meriah juga LOHHH 🤑🤓
3;Saya selalu diarahkan pada tix even, meskipun saya sudah keluar. Mohon diperbaiki
3;Gunanya poin apa coba ga bisa d ganti apus ae sistem poin, semua poin kadarluarsa karna ga bisa dituker
5;Sangat membantu, terutama buat Movie mania yang punya posisi kursi favorit atau males antri tiketing
5;Aplikasi yang sangat membantu untuk membeli tiket bioskop dan lain lain nya di bioskop 👍🏻
5;nton ke bioskop ga pake antri tiket lg deh Kl bgini.. knpa ga dari dulu ya..
5;aplikasinya memudahkan banget, gak perlu repot repot antri beli tiket, tinggal beli di aplikasi ini aja terus scan barcode nya. jadi gak takut lagi deh gak kebagian kursi diatas semenjak pakai aplikasi ini
1;Sekarang sering error, gak bisa dibuka
5;Alhamdulillah ada apl TIX ID memudahkan sy memesan tiket tanpa takut kehabisan,best pokonya,thanks
1;Setelah di update sering error ga bisa dibuka lol
1;kacau fasilitasnya jelek banget banget banget,cetak tiket ga keluar!! mau cetak ulang bilangnya telah di cetak!! lokasi : gragemall cirebon
3;"ini apk kenapa dah gak bisa dibuka, padahal sinyal bagus, udah ganti ke wifi/paket data, udah uninstall trs install ulang, udah update dll udah dilakuin semua, tetep aja selalu ada keterangan ""ada kendala, cobalah beberapa saat lagi"" tolong dong di benerin"
4;Baguss aplikasi nya mempermudah kaum mager antri panjang kaya aku, tapi minimal dibanyakin plis metode pembayaran nyaa hehe
5;Sangat mudah di gunakan, dari pemilihan film lalu ke pemilihan waktu tayang dan pemilihan tempat duduknya jg, sampai ke pembayarannya. Over all kalo memakai aplikasi biaa dapat banyak promo buy 1 get 1 yang sangat menguntungkan bagi couple yg ingin nonton berdua tp hemat. Cuma saran aja, lebih bagus lg ada pembayaran cash di kasir, jikalau kita tidak memiliki saldo. Love it
5;"Mudahkan buat beli tiket tnp harus antri..dan semua film"" yg akan tayang pun bisa di lihat di apk ini.. Tapi sayangnya tiap mau tukar koin knp gagal terus,ya..slalu tertera gagal tukar voucher..(mohon maaf terjadi masalah sistem dalam penukaran voucer,di karnakan kuota voucer yg telah habis) Masa seperti itu terus tiap hari & mau tukar koin yg di dapat.."
3;memudahkan dalam pembelian tiket, jadwal film, dan lainnya serta udah bisa payment via ewalet atau bank. hanya saja knp skrg ga ada fitur bahasa jdi ga bisa di ganti ke bahasa indonesia hanya bahasa inggris saja
2;Aplikasinya suka g bisa dibuka. Udh dicoba diinstal ulang, bisa sih tapi waktu baru diinstal doang. Kesananya g bisa lagi
1;Aplikasi gak jelasssssss,,,hampir 1 jam gua mau buat pesanan tiket tapi gak bisa bisa,,bikin emosi aja nih aplikasi. Gak akan gua pake lu lg,,,uninstal aja!!!!!
4;Tolong untuk sistem pembayaran nya ditambah dan diperbanyak lg, seperti bisa pembayaran melalui Virtual Account bank
3;Ini aplikasi di Indonesia tetapi sinopsis film rata2 menggunakan Bahasa Inggris, harusnya ada menu terjemahan nya jika memang dari pihak film memberikan sinopsis berbahasa Inggris
1;Kepada yang terhormat PT elang jaya ini tolong perbaiki napa di hp saya itu erorr terus coba lagi nanti gitu tolong perbaiki napa masa orang nya rapi rapi di kantor aplikasinya bobrok kan aneh it nya kalau ga becus ganti aja sama yang niat kerja, saya bukannya so atau apapun tapi saya mau lihat lihat film atau booking film buat nonton di bioskop jadi susah dan terganggu, terimakasih banyak 🙏.
2;Ini di update bukan tambah gampang buka atau puter trilerx eh malah tambah berat dan muter triler susah luar biasa,,, kalau mau upgrade minimal jadi mkin ringan bukan mkin berat aplikasix 🙏
5;Saya ingin aplikasi ini di tambah fitur terbaik nya dan promo promo di kasih free aplikator dan pembayaran di sediain cash aplikasi nya semoga semakin maju,sukses dan memberikan manfaat buat masyarakat aplikator semoga bisa mempermudah
2;Sering kalau mau beli tiket tempat duduk masih banyak kosong, tetapi ketika pilih tempat duduk ga bisa, loading terus. Berkali-kali seperti itu. Pas coba kesekian kalinya rupanya tempat duduk udh hampir penuh. Ini gimana sistemnya? Awal2 pake tix-id real-time kondisi berapa jumlah tempat duduk saat mau pilih. Tapi masa iya dari kosong ke hampir penuh gak sampe 1 menit. Jadinya mau gamau pilih tempat duduk didepan yg tersisa.
1;Ini gimana kok poin nya ga bisa ditukar ? Padahal ada 9000 koin tapi ditukar 7000 gak bisa alasannya sdh habis kuotanya . Di tukar yg 4000 jg g bisa jg.. padahal sdh dicoba pagi2 ttp ga BS dicoba siang g bisa jg , sore ,malem sama aja ...
4;Aplikasi Tix ID ini sudah keren banget buat beli tiket online! Tapi kayaknya bakal lebih mantap lagi kalau biaya adminnya bisa lebih terjangkau, soalnya masih terasa cukup mahal. Dengan biaya admin yang lebih rendah, pasti makin banyak pengguna yang tertarik. Semoga bisa jadi pertimbangan ya! Terima kasih banyak!
3;Awal cerita bagus . eehh, makin k tengah ama akhir, ngebosanin... ampe ngantok saiya🤣. . mana hantu nya d 7 pantai cm nongol doang, ga ad serem2nya.. padahal review filmnya d tiktok bgs.. endingnya d paksain bgt🫣
1;jelek banget pelayanannya, masa ganti jadwal aja gk bisa, jadi males pake aplikasi ini, pelayanannya buruk banget minta tolong di bantu juga malah di persulit, padahal uang udh masuk, ya kalo gk bisa di refund minimal ganti jadwal lah, ini mah udh kayak penipuan beli barang tapi gada bentuknya gada kebijakannya sama sekali, mending hapus lagi aplikasinya,
5;sangat membantu sekali karena tdk perlu antri dan lbh praktis dalam memilih film yg di inginkan serta bisa pilih di bioskop mna.
1;Download di 2 hp berbeda sama sama gabisa di buka semua, tulisannya error padahal sinyal kencang + wifi jg kencang tpi setiap kali buka selalu error terus sampe udah uninstal terus instal ulang lagi tpi masih tetep sama aja
2;Untuk lokasinya masih ga lengkap contohnya cilacap ga ada di apk ini adanya pwt masa harus ke pwt kan ga mungkin yang deket juga ada studio dakota cinema Cilacap sama kroya tolong dong min di perbaiki lagi
5;Ini sih the best buat mesen tiket bioskop+ jajanan nya jdi enak ga harus ngantri, awalnya ad kendala di beberapa bioskop tapi skrng udh aman, keren bgt sih tim TIX ID cepat menanggapi, the best selalu ya
3;Aplikasi paling mantap, dan biar akun kalian aktif, jangan lupa gunakan = 62VGL2 = ko'de undangny ini, dan selamat akun kalian bakalan aktif dan terverifikasi.. Sehingga kalian sudah bisa menggunakan aplikasi ini, saya sangat suka dengan adanya aplikasi ini, karena aplikasi ini sangat bagus dan juga aman ya.
1;pusing mau nonton film Indonesia semua film box office barat belum ada yg Bagus akhirnya nonton di LOKLOK lebih seru banyak pilihan nonton dirumah aja lebih 👍 Tanpa mengeluarkan biaya & tenaga
1;Setiap ada notif promo tiket buy 1 get 1 selalu update.dan setelah diupdate malah balik lagi ke menu awal.dicoba berkali² tete sama aja.jadi gak pernah bisa dibeli kalo buy 1 get 1 nyaa...
1;"Refund gagal, saldo tidak kembali ke ewallet. Alasan gagal terhubung dengan bioskop, saya kecewa menggunakan tix VIP+ jujur belakangan ini baik"" saja biasanya namun kenapa pagi subuh saat transaksi sudah berhasil malah tiket tidak dapat dan refund juga gagal di email yang jawab juga bot gmana sih ini sistem nya ga bner"
5;mohon kedepannya selalu pertahankan kualitas aplikasinya karena untuk sekarang masih yang terbaik buat membeli tiket bioskop atau melihat jadwal film dan UI sangat nyaman terus metode pembayaran juga makin banyak,jarang bermasalah tanpa kendala sekian terima kasih
2;Untuk transaksi sudah bagus, namun untuk harga biaya admin 4000 dikalikan jika kita pesan misal 10 tiket kan jadi mahal 4000×10. mungkin kedepannya dihapus ya kelipatannya atau harga admin jangan terlalu mahal. saran saja.
5;Mempermudah prosesnya, bebas pilih lokasi bioskop, bebas pilih kursi, mempermudah beli cemilannya, gak perlu ribet antri. Update dgn film2 nya..
1;"Tix id skrg dan dulu udah beda banget. Dulu awalnya rilis, gencar banget cari pelanggan ngasih promo berlimpah. Skrg boro"" ngasih promo, kita beli tiket aja per 1 tiket kena biaya tambahan. Hadeh. Mending lngsung beli di tempat."
5;keren sekarang tix id pembayaran nya bermacam gak kayak dulu yang hanya lewat DANA doang. sekarang bisa Qris euy membantu orang orang yang gak punya dompet digital. tingkatkan terus TIX ID
3;Tolong jangan Paksa Upgrade Aplikasi di smartphone Kami. Saya Sebagai User Aplikasi ini Sangat Kesal melihat Perusahaan terus memaksa untuk Update paksa TIX ID kepada User Aplikasi nya Jika mereka melakukan upgrade. Tolong Kasih Pilihan di aplikasi apakah mau di upgrade atau tidak Perusahaan Pembuat Aplikasi TIX ID. Tolong lihat Ulasan ku mohon maaf penyampaianku berupa Kritikan
5;Salah satu apl paling berguna dan praktis, bisa buat ngecek, liat berita dan beli tiket untuk film terbaru, pembayarannya juga cukup mudah..
1;Saya booking Tiket, pembayaran juga telah berhasil. Saldo saya sudah tersedot 88k, namun code kursinya tidak muncul. Ketika saya bertanya kepada salah satu petugas bioskop, mereka bilangnya ini error pada aplikasinya. Ujung ujungnya code tiketnya tidak muncul sampai filmnya selesai ditayangkan, dan saya tidak menerima refund sepeserpun.
5;Semoga sukses selalu untuk selamanya. Aplikasinya sdh bagus, sangat membantu utk melihat film-film favorit yg ingin ditonton oleh seluruh keluarga.
